id;Type;ModestFRETpiLRTDP;ModestFRETpiLRTDPshifted;other;othershifted
beb.4-8-7.LineSeized;mdp;4000;4000;27.774599313735962;27.774599313735962
beb.5-16-15.LineSeized;mdp;8000;8000;2.48786997795105;2.48786997795105
consensus.4-4.disagree;mdp;4000;4000;1.4592525959014893;1.4592525959014893
consensus.4-4.steps_min;mdp;4000;4000;2.243938684463501;2.243938684463501
consensus.6-2.disagree;mdp;4000;4000;6.0522401332855225;6.0522401332855225
consensus.6-2.steps_min;mdp;4000;4000;3.6693572998046875;3.6693572998046875
csma.3-4.time_max;mdp;4000;4000;6.658794164657593;6.658794164657593
csma.4-2.time_max;mdp;4000;4000;4.363117456436157;4.363117456436157
eajs.5-250-11.ExpUtil;mdp;4000;4000;17.623847723007202;17.623847723007202
eajs.6-300-13.ExpUtil;mdp;4000;4000;43.639577865600586;43.639577865600586
echoring.100.MaxOffline1;mdp;4000;4000;5.541377305984497;5.541377305984497
elevators.b-11-9.goal;mdp;3.0427956581115723;3.0427956581115723;7.948308229446411;7.948308229446411
exploding-blocksworld.10.goal;mdp;4000;4000;2.1086807250976562;2.1086807250976562
pacman.100.crash;mdp;4000;4000;74.1528058052063;74.1528058052063
pacman.60.crash;mdp;4000;4000;31.299440145492554;31.299440145492554
pnueli-zuck.5.live;mdp;1.0364038944244385;1.0364038944244385;0.9504830837249756;1
pnueli-zuck.10.live;mdp;1.5411746501922607;1.5411746501922607;0.6351883411407471;1
rabin.10.live;mdp;1.0410223007202148;1.0410223007202148;1.2377865314483643;1.2377865314483643
rectangle-tireworld.11.goal;mdp;112.6804678440094;112.6804678440094;7.751297473907471;7.751297473907471
resource-gathering.1300-100-100.expsteps;mdp;4000;4000;25.759570121765137;25.759570121765137
tireworld.45.goal;mdp;1.040675163269043;1.040675163269043;455.8323423862457;455.8323423862457
triangle-tireworld.441.goal;mdp;2.0422236919403076;2.0422236919403076;2.530890464782715;2.530890464782715
wlan.4-0.sent;mdp;4000;4000;2.386280059814453;2.386280059814453
wlan.4-0.cost_min;mdp;3.0407462120056152;3.0407462120056152;4.56065821647644;4.56065821647644
wlan.5-0.sent;mdp;4000;4000;3.2890472412109375;3.2890472412109375
wlan.5-0.cost_min;mdp;3.546347141265869;3.546347141265869;13.464123487472534;13.464123487472534
wlan.6-0.sent;mdp;4000;4000;5.663889408111572;5.663889408111572
wlan.6-0.cost_min;mdp;3.5443286895751953;3.5443286895751953;49.87902021408081;49.87902021408081
zenotravel.4-2-2.goal;mdp;2.043485403060913;2.043485403060913;6.312912464141846;6.312912464141846
zeroconf.1000-8-false.correct_max;mdp;4000;4000;12.376911401748657;12.376911401748657
zeroconf.1000-8-false.correct_min;mdp;16000;16000;15.878494501113892;15.878494501113892
