id;Type;mcsta;mcstashifted;other;othershifted
coupon.9-4-5.collect_all_bounded;dtmc;16000;16000;273.24077248573303;273.24077248573303
coupon.9-4-5.exp_draws;dtmc;31.653822660446167;31.653822660446167;534.0406477451324;534.0406477451324
coupon.15-4-5.collect_all_bounded;dtmc;4000;4000;4000;4000
coupon.15-4-5.exp_draws;dtmc;4000;4000;4000;4000
crowds.5-20.positive;dtmc;8.715144634246826;8.715144634246826;15.790925979614258;15.790925979614258
crowds.6-20.positive;dtmc;44.12491154670715;44.12491154670715;117.70915150642395;117.70915150642395
egl.10-2.messagesB;dtmc;291.33624744415283;291.33624744415283;911.4347832202911;911.4347832202911
egl.10-2.unfairA;dtmc;183.95032668113708;183.95032668113708;822.0309743881226;822.0309743881226
egl.10-8.messagesB;dtmc;4000;4000;4000;4000
egl.10-8.unfairA;dtmc;4000;4000;4000;4000
haddad-monmege.100-0.7.exp_steps;dtmc;4000;4000;4000;4000
haddad-monmege.100-0.7.target;dtmc;4000;4000;4000;4000
nand.40-4.reliable;dtmc;6.853604316711426;6.853604316711426;4000;4000
nand.60-4.reliable;dtmc;31.09599471092224;31.09599471092224;4000;4000
embedded.8-12.actuators;ctmc;16000;16000;4000;4000
embedded.8-12.up_time;ctmc;16000;16000;4000;4000
mapk_cascade.4-30.activated_time;ctmc;22.28098726272583;22.28098726272583;4000;4000
philosophers.16-1.MaxPrReachDeadlock;ctmc;14.362655639648438;14.362655639648438;38.82311010360718;38.82311010360718
philosophers.16-1.MinExpTimeDeadlock;ctmc;16000;16000;4000;4000
philosophers.20-1.MaxPrReachDeadlock;ctmc;4000;4000;4000;4000
philosophers.20-1.MinExpTimeDeadlock;ctmc;4000;4000;4000;4000
polling.18-16.s1_before_s2;ctmc;530.0237901210785;530.0237901210785;4000;4000
beb.4-8-7.LineSeized;mdp;290.8097138404846;290.8097138404846;162.3375163078308;162.3375163078308
beb.5-16-15.LineSeized;mdp;4000;4000;4000;4000
consensus.4-4.disagree;mdp;16000;16000;4000;4000
consensus.4-4.steps_min;mdp;16000;16000;4000;4000
consensus.6-2.disagree;mdp;342.58429980278015;342.58429980278015;4000;4000
consensus.6-2.steps_min;mdp;212.11378288269043;212.11378288269043;4000;4000
csma.3-4.all_before_max;mdp;44.932929277420044;44.932929277420044;16.936426401138306;16.936426401138306
csma.3-4.time_max;mdp;6.813416481018066;6.813416481018066;4000;4000
csma.4-2.all_before_max;mdp;28.93529224395752;28.93529224395752;10.371217727661133;10.371217727661133
csma.4-2.time_max;mdp;4.865910768508911;4.865910768508911;4000;4000
eajs.5-250-11.ExpUtil;mdp;17.583662271499634;17.583662271499634;57.60802936553955;57.60802936553955
eajs.6-300-13.ExpUtil;mdp;52.10481858253479;52.10481858253479;187.50555801391602;187.50555801391602
echoring.100.MaxOffline1;mdp;19.47104835510254;19.47104835510254;59.88052248954773;59.88052248954773
elevators.b-11-9.goal;mdp;8.622283220291138;8.622283220291138;9.010342359542847;9.010342359542847
exploding-blocksworld.10.goal;mdp;4000;4000;4000;4000
firewire.false-36-800.deadline;mdp;16000;16000;33.82659387588501;33.82659387588501
pacman.100.crash;mdp;295.1395661830902;295.1395661830902;626.6586534976959;626.6586534976959
pacman.60.crash;mdp;132.88539385795593;132.88539385795593;274.65901041030884;274.65901041030884
pnueli-zuck.5.live;mdp;3.161301851272583;3.161301851272583;4.3166961669921875;4.3166961669921875
pnueli-zuck.10.live;mdp;4000;4000;4000;4000
rabin.10.live;mdp;4000;4000;4000;4000
rectangle-tireworld.11.goal;mdp;7.563396215438843;7.563396215438843;22.880977153778076;22.880977153778076
resource-gathering.1300-100-100.expsteps;mdp;159.04154920578003;159.04154920578003;4000;4000
tireworld.45.goal;mdp;551.6223564147949;551.6223564147949;4000;4000
triangle-tireworld.441.goal;mdp;4000;4000;4000;4000
wlan.4-0.sent;mdp;4.457219123840332;4.457219123840332;3.3944742679595947;3.3944742679595947
wlan.4-0.cost_min;mdp;14.709834575653076;14.709834575653076;4.140555143356323;4.140555143356323
wlan.5-0.sent;mdp;25.009660720825195;25.009660720825195;12.852572679519653;12.852572679519653
wlan.5-0.cost_min;mdp;104.52406144142151;104.52406144142151;15.631234884262085;15.631234884262085
wlan.6-0.sent;mdp;173.48348712921143;173.48348712921143;50.94161510467529;50.94161510467529
wlan.6-0.cost_min;mdp;787.9914536476135;787.9914536476135;61.870182275772095;61.870182275772095
zenotravel.4-2-2.goal;mdp;11.371845722198486;11.371845722198486;24.51815176010132;24.51815176010132
zeroconf.1000-8-false.correct_max;mdp;212.87614274024963;212.87614274024963;4000;4000
zeroconf.1000-8-false.correct_min;mdp;18.091585874557495;18.091585874557495;31.024540185928345;31.024540185928345
dpm.6-6-5.PminQueue1Full;ma;28.12315845489502;28.12315845489502;4000;4000
ftwc.8-5.TimeMax;ma;16000;16000;4000;4000
ftwc.8-5.TimeMin;ma;16000;16000;4000;4000
readers-writers.40.exp_time_many_requests;ma;45.77377796173096;45.77377796173096;4000;4000
stream.1000.exp_buffertime;ma;170.64026975631714;170.64026975631714;9.679322957992554;9.679322957992554
stream.1000.pr_underrun;ma;1.5008697509765625;1.5008697509765625;2.6739039421081543;2.6739039421081543
vgs.5-10000.MinExpTimeFailed;ma;4000;4000;0.16849946975708008;1
firewire-pta.30-5000.deadline;pta;466.24207401275635;466.24207401275635;4000;4000
firewire-pta.30-5000.eventually;pta;18.24471354484558;18.24471354484558;56.54443359375;56.54443359375
wlan-large.2.E_or;pta;20.58755660057068;20.58755660057068;45.793503522872925;45.793503522872925
wlan-large.2.P_max;pta;59.76944828033447;59.76944828033447;9.320540189743042;9.320540189743042
zeroconf-pta.200.deadline;pta;0.6256382465362549;1;4000;4000
zeroconf-pta.200.incorrect;pta;0.5834999084472656;1;0.383988618850708;1
