id;Type;Storm-static;Storm-staticshifted;other;othershifted
bluetooth.1.time;dtmc;4000;4000;10.366326808929443;10.366326808929443
coupon.9-4-5.collect_all_bounded;dtmc;273.16239285469055;273.16239285469055;4.663182973861694;4.663182973861694
coupon.9-4-5.exp_draws;dtmc;189.17512202262878;189.17512202262878;4.490706443786621;4.490706443786621
coupon.15-4-5.collect_all_bounded;dtmc;4000;4000;4000;4000
coupon.15-4-5.exp_draws;dtmc;4000;4000;1398.2003831863403;1398.2003831863403
crowds.5-20.positive;dtmc;15.47986888885498;15.47986888885498;2.6328952312469482;2.6328952312469482
crowds.6-20.positive;dtmc;115.52258896827698;115.52258896827698;2.9710896015167236;2.9710896015167236
egl.10-2.messagesB;dtmc;929.2023448944092;929.2023448944092;3.7900478839874268;3.7900478839874268
egl.10-2.unfairA;dtmc;822.566379070282;822.566379070282;3.8154256343841553;3.8154256343841553
egl.10-8.messagesB;dtmc;4000;4000;16.46184253692627;16.46184253692627
egl.10-8.unfairA;dtmc;4000;4000;17.49091148376465;17.49091148376465
haddad-monmege.100-0.7.exp_steps;dtmc;4000;4000;0.0590822696685791;1
haddad-monmege.100-0.7.target;dtmc;16000;16000;0.05773663520812988;1
herman.15.steps;dtmc;22.74191975593567;22.74191975593567;4.2475574016571045;4.2475574016571045
nand.40-4.reliable;dtmc;18.7403507232666;18.7403507232666;6.934811353683472;6.934811353683472
nand.60-4.reliable;dtmc;90.11320543289185;90.11320543289185;31.547567129135132;31.547567129135132
oscillators.8-10-0.1-1-0.1-1.0.power_consumption;dtmc;189.28172898292542;189.28172898292542;85.91794991493225;85.91794991493225
oscillators.8-10-0.1-1-0.1-1.0.time_to_synch;dtmc;193.01730251312256;193.01730251312256;86.5793526172638;86.5793526172638
cluster.128-2000-20.premium_steady;ctmc;175.18121123313904;175.18121123313904;67.62052202224731;67.62052202224731
cluster.128-2000-20.qos1;ctmc;450.2413065433502;450.2413065433502;457.11889815330505;457.11889815330505
cluster.64-2000-20.below_min;ctmc;925.2219560146332;925.2219560146332;51.32397675514221;51.32397675514221
embedded.8-12.actuators;ctmc;0.7776095867156982;1;0.761833667755127;1
embedded.8-12.up_time;ctmc;0.725492000579834;1;0.720970869064331;1
fms.8.productivity;ctmc;4000;4000;91.39933586120605;91.39933586120605
kanban.5.throughput;ctmc;224.51074290275574;224.51074290275574;30.526582956314087;30.526582956314087
majority.2100.change_state;ctmc;65.05634808540344;65.05634808540344;65.37557935714722;65.37557935714722
mapk_cascade.4-30.activated_time;ctmc;5.8338963985443115;5.8338963985443115;5.82468318939209;5.82468318939209
mapk_cascade.4-30.reactions;ctmc;192.00018739700317;192.00018739700317;235.37866401672363;235.37866401672363
philosophers.16-1.MaxPrReachDeadlockTB;ctmc;98.27381205558777;98.27381205558777;84.2539849281311;84.2539849281311
philosophers.16-1.MaxPrReachDeadlock;ctmc;38.651203632354736;38.651203632354736;1.5427393913269043;1.5427393913269043
philosophers.16-1.MinExpTimeDeadlock;ctmc;44.786712408065796;44.786712408065796;26.42363739013672;26.42363739013672
philosophers.20-1.MaxPrReachDeadlockTB;ctmc;4000;4000;4000;4000
philosophers.20-1.MaxPrReachDeadlock;ctmc;4000;4000;1.940492868423462;1.940492868423462
philosophers.20-1.MinExpTimeDeadlock;ctmc;4000;4000;4000;4000
polling.18-16.s1_before_s2;ctmc;203.3464035987854;203.3464035987854;45.16190147399902;45.16190147399902
speed-ind.2100.change_state;ctmc;251.73936486244202;251.73936486244202;241.07750391960144;241.07750391960144
beb.4-8-7.LineSeized;mdp;159.89765620231628;159.89765620231628;41.2624671459198;41.2624671459198
beb.5-16-15.LineSeized;mdp;4000;4000;4000;4000
consensus.4-4.disagree;mdp;2.521324396133423;2.521324396133423;2.5018160343170166;2.5018160343170166
consensus.4-4.steps_min;mdp;2.7310752868652344;2.7310752868652344;2.7680435180664062;2.7680435180664062
consensus.6-2.disagree;mdp;54.76093506813049;54.76093506813049;7.998741626739502;7.998741626739502
